F_Code,Text
F00,"Demenz bei Alzheimer-KrankheitG30.- Die Alzheimer-Krankheit ist eine primär degenerative zerebrale Krankheit mit unbekannter Ätiologie und charakteristischen neuropathologischen und neurochemischen Merkmalen. Sie beginnt meist schleichend und entwickelt sich langsam aber stetig über einen Zeitraum von mehreren Jahren. Soll das Vorliegen von psychischen oder Verhaltensstörungen spezifisch angegeben werden, so sind sekundäre SchlüsselnummernU63.- zu benutzen. Demenz bei Alzheimer-Krankheit, mit frühem Beginn (Typ 2)G30.0 Demenz bei Alzheimer-Krankheit mit Beginn vor dem 65. Lebensjahr. Der Verlauf weist eine vergleichsweise rasche Verschlechterung auf, es bestehen deutliche und vielfältige Störungen der höheren kortikalen Funktionen. Alzheimer-Krankheit, Typ 2 Präsenile Demenz vom Alzheimer-Typ Primär degenerative Demenz vom Alzheimer-Typ, präseniler Beginn Demenz bei Alzheimer-Krankheit, mit spätem Beginn (Typ 1)G30.1 Demenz bei Alzheimer-Krankheit mit Beginn ab dem 65. Lebensjahr, meist in den späten 70er Jahren oder danach, mit langsamer Progredienz und mit Gedächtnisstörungen als Hauptmerkmal. Alzheimer-Krankheit, Typ 1 Primär degenerative Demenz vom Alzheimer-Typ, seniler Beginn Senile Demenz vom Alzheimer-Typ (SDAT) Demenz bei Alzheimer-Krankheit, atypische oder gemischte FormG30.8 Atypische Demenz vom Alzheimer-Typ Demenz bei Alzheimer-Krankheit, nicht näher bezeichnetG30.9"
F01,"Vaskuläre Demenz Die vaskuläre Demenz ist das Ergebnis einer Infarzierung des Gehirns als Folge einer vaskulären Krankheit, einschließlich der zerebrovaskulären Hypertonie. Die Infarkte sind meist klein, kumulieren aber in ihrer Wirkung. Der Beginn liegt gewöhnlich im späteren Lebensalter. Arteriosklerotische Demenz Soll das Vorliegen von psychischen oder Verhaltensstörungen spezifisch angegeben werden, so sind sekundäre SchlüsselnummernU63.- zu benutzen. Vaskuläre Demenz mit akutem Beginn Diese entwickelt sich meist sehr schnell nach einer Reihe von Schlaganfällen als Folge von zerebrovaskulärer Thrombose, Embolie oder Blutung. In seltenen Fällen kann eine einzige massive Infarzierung die Ursache sein. Multiinfarkt-Demenz Sie beginnt allmählich, nach mehreren vorübergehenden ischämischen Episoden (TIA), die eine Anhäufung von Infarkten im Hirngewebe verursachen. Vorwiegend kortikale Demenz Subkortikale vaskuläre Demenz Hierzu zählen Fälle mit Hypertonie in der Anamnese und ischämischen Herden im Marklager der Hemisphären. Im Gegensatz zur Demenz bei Alzheimer-Krankheit, an die das klinische Bild erinnert, ist die Hirnrinde gewöhnlich intakt. Gemischte kortikale und subkortikale vaskuläre Demenz Sonstige vaskuläre Demenz Vaskuläre Demenz, nicht näher bezeichnet"
F02,"Demenz bei anderenorts klassifizierten Krankheiten Formen der Demenz, bei denen eine andere Ursache als die Alzheimer-Krankheit oder eine zerebrovaskuläre Krankheit vorliegt oder vermutet wird. Sie kann in jedem Lebensalter auftreten, selten jedoch im höheren Alter. Soll das Vorliegen von psychischen oder Verhaltensstörungen spezifisch angegeben werden, so sind sekundäre SchlüsselnummernU63.- zu benutzen. Demenz bei Pick-KrankheitG31.0 Eine progrediente Demenz mit Beginn im mittleren Lebensalter, charakterisiert durch frühe, langsam fortschreitende Persönlichkeitsänderung und Verlust sozialer Fähigkeiten. Die Krankheit ist gefolgt von Beeinträchtigungen von Intellekt, Gedächtnis und Sprachfunktionen mit Apathie, Euphorie und gelegentlich auch extrapyramidalen Phänomenen. Demenz bei Creutzfeldt-Jakob-KrankheitA81.0 Eine progrediente Demenz mit vielfältigen neurologischen Symptomen als Folge spezifischer neuropathologischer Veränderungen, die vermutlich durch ein übertragbares Agens verursacht werden. Beginn gewöhnlich im mittleren oder höheren Lebensalter, Auftreten jedoch in jedem Erwachsenenalter möglich. Der Verlauf ist subakut und führt innerhalb von ein bis zwei Jahren zum Tode. Demenz bei Chorea HuntingtonG10 Eine Demenz, die im Rahmen einer ausgeprägten Hirndegeneration auftritt. Die Störung ist autosomal dominant erblich. Die Symptomatik beginnt typischerweise im dritten und vierten Lebensjahrzehnt. Bei langsamer Progredienz führt die Krankheit meist innerhalb von 10 - 15 Jahren zum Tode. Demenz bei Huntington-Krankheit Demenz bei primärem Parkinson-SyndromG20.- Eine Demenz, die sich im Verlauf einer Parkinson-Krankheit entwickelt. Bisher konnten allerdings noch keine charakteristischen klinischen Merkmale beschrieben werden. Demenz bei: Paralysis agitans Demenz bei: Parkinsonismus oder Parkinson-Krankheit Demenz bei HIV-Krankheit [Humane Immundefizienz-Viruskrankheit]B22 Eine Demenz, die sich im Verlauf einer HIV-Krankheit entwickelt, ohne gleichzeitige andere Krankheit oder Störung, die das klinische Bild erklären könnte. Demenz bei anderenorts klassifizierten Krankheitsbildern Demenz (bei): EpilepsieG40.- Demenz (bei): hepatolentikulärer Degeneration [M. Wilson]E83.0 Demenz (bei): HyperkalziämieE83.5- Demenz (bei): Hypothyreose, erworbenE01.-E03.- Demenz (bei): IntoxikationenT36-T65 Demenz (bei): Lewy-Körper-KrankheitG31.82 Demenz (bei): Multipler SkleroseG35.- Demenz (bei): NeurosyphilisA52.1 Demenz (bei): Niazin-Mangel [Pellagra]E52 Demenz (bei): Panarteriitis nodosaM30.0 Demenz (bei): systemischem Lupus erythematodesM32.- Demenz (bei): TrypanosomiasisB56.-B57.- Demenz (bei): UrämieN18.- Demenz (bei): Vitamin-B12-Mangel E53.8 Demenz (bei): zerebraler LipidstoffwechselstörungE75.-"
F03,"Nicht näher bezeichnete Demenz Präsenil: Demenz o.n.A. Präsenil: Psychose o.n.A. Primäre degenerative Demenz o.n.A. Senil: Demenz: depressiver oder paranoider Typus Senil: Demenz: o.n.A. Senil: Psychose o.n.A. Soll das Vorliegen eines die Demenz überlagernden Delirs oder akuten Verwirrtheitszustandes angegeben werden, ist eine zusätzliche Schlüsselnummer zu verwenden. Soll das Vorliegen von psychischen oder Verhaltensstörungen spezifisch angegeben werden, so sind sekundäre SchlüsselnummernU63.- zu benutzen."
F04,"Organisches amnestisches Syndrom, nicht durch Alkohol oder andere psychotrope Substanzen bedingt Ein Syndrom mit deutlichen Beeinträchtigungen des Kurz- und Langzeitgedächtnisses, bei erhaltenem Immediatgedächtnis. Es finden sich eine eingeschränkte Fähigkeit, neues Material zu erlernen und zeitliche Desorientierung. Konfabulation kann ein deutliches Merkmal sein, aber Wahrnehmung und andere kognitive Funktionen, einschließlich Intelligenz, sind gewöhnlich intakt. Die Prognose ist abhängig vom Verlauf der zugrunde liegenden Läsion. Korsakow-Psychose oder -Syndrom, nicht alkoholbedingt"
F05,"Delir, nicht durch Alkohol oder andere psychotrope Substanzen bedingt Ein ätiologisch unspezifisches hirnorganisches Syndrom, das charakterisiert ist durch gleichzeitig bestehende Störungen des Bewusstseins einerseits und mindestens zwei der nachfolgend genannten Störungen andererseits: Störungen der Aufmerksamkeit, der Wahrnehmung, des Denkens, des Gedächtnisses, der Psychomotorik, der Emotionalität oder des Schlaf-Wach-Rhythmus. Die Dauer ist sehr unterschiedlich und der Schweregrad reicht von leicht bis zu sehr schwer. Akut oder subakut: exogener Reaktionstyp Akut oder subakut: hirnorganisches Syndrom Akut oder subakut: psychoorganisches Syndrom Akut oder subakut: Psychose bei Infektionskrankheit Akut oder subakut: Verwirrtheitszustand (nicht alkoholbedingt) Delir ohne Demenz Delir bei Demenz Soll die Art der Demenz angegeben werden, ist eine zusätzliche Schlüsselnummer zu verwenden. Sonstige Formen des Delirs Delir mit gemischter Ätiologie Postoperatives Delir Delir, nicht näher bezeichnet"
F06,"Andere psychische Störungen aufgrund einer Schädigung oder Funktionsstörung des Gehirns oder einer körperlichen Krankheit Diese Kategorie umfasst verschiedene Krankheitsbilder, die ursächlich mit einer Hirnfunktionsstörung in Zusammenhang stehen als Folge von primär zerebralen Krankheiten, systemischen Krankheiten, die sekundär das Gehirn betreffen, exogenen toxischen Substanzen oder Hormonen, endokrinen Störungen oder anderen körperlichen Krankheiten. Organische Halluzinose Eine Störung mit ständigen oder immer wieder auftretenden, meist optischen oder akustischen Halluzinationen bei klarer Bewusstseinslage. Sie können vom Patienten als Halluzinationen erkannt werden. Die Halluzinationen können wahnhaft verarbeitet werden, Wahn dominiert aber nicht das klinische Bild. Die Krankheitseinsicht kann erhalten bleiben. Organisch bedingtes halluzinatorisches Zustandsbild (nicht alkoholbedingt) Organische katatone Störung Eine Störung mit verminderter (Stupor) oder gesteigerter (Erregung) psychomotorischer Aktivität in Verbindung mit katatonen Symptomen. Das Erscheinungsbild kann zwischen den beiden Extremen der psychomotorischen Störung wechseln. Organische wahnhafte [schizophreniforme] Störung Eine Störung, bei der anhaltende oder immer wieder auftretende Wahnideen das klinische Bild bestimmen. Die Wahnideen können von Halluzinationen begleitet werden. Einige Merkmale, die auf Schizophrenie hinweisen, wie bizarre Halluzinationen oder Denkstörungen, können vorliegen. Paranoide und paranoid-halluzinatorische organisch bedingte Zustandsbilder Schizophreniforme Psychose bei Epilepsie Organische affektive Störungen Störungen, die durch eine Veränderung der Stimmung oder des Affektes charakterisiert sind, meist zusammen mit einer Veränderung der gesamten Aktivitätslage. Depressive, hypomanische, manische oder bipolare Zustandsbilder (F30-F38) sind möglich, entstehen jedoch als Folge einer organischen Störung. Organische Angststörung Eine Störung, charakterisiert durch die wesentlichen deskriptiven Merkmale einer generalisierten Angststörung (F41.1), einer Panikstörung (F41.0) oder einer Kombination von beiden, jedoch als Folge einer organischen Störung. Organische dissoziative Störung Eine Störung, charakterisiert durch den teilweisen oder völligen Verlust der normalen Integration von Erinnerungen an die Vergangenheit, des Identitätsbewusstseins und der unmittelbaren Wahrnehmungen sowie der Kontrolle von Körperbewegungen (F44.-), jedoch als Folge einer organischen Störung. Organische emotional labile [asthenische] Störung Eine Störung, charakterisiert durch Affektdurchlässigkeit oder -labilität, Ermüdbarkeit sowie eine Vielzahl körperlicher Missempfindungen (z.B. Schwindel) und Schmerzen, jedoch als Folge einer organischen Störung. Leichte kognitive Störung Eine Störung, die charakterisiert ist durch Gedächtnisstörungen, Lernschwierigkeiten und die verminderte Fähigkeit, sich längere Zeit auf eine Aufgabe zu konzentrieren. Oft besteht ein Gefühl geistiger Ermüdung bei dem Versuch, Aufgaben zu lösen. Objektiv erfolgreiches Lernen wird subjektiv als schwierig empfunden. Keines dieser Symptome ist so schwerwiegend, dass die Diagnose einer Demenz (F00-F03) oder eines Delirs (F05.-) gestellt werden kann. Die Diagnose sollte nur in Verbindung mit einer körperlichen Krankheit gestellt und bei Vorliegen einer anderen psychischen oder Verhaltensstörung aus dem Abschnitt F10-F99 nicht verwandt werden. Diese Störung kann vor, während oder nach einer Vielzahl von zerebralen oder systemischen Infektionen oder anderen körperlichen Krankheiten auftreten. Der direkte Nachweis einer zerebralen Beteiligung ist aber nicht notwendig. Die Störung wird vom postenzephalitischen (F07.1) und vom postkontusionellen Syndrom (F07.2) durch ihre andere Ätiologie, die wenig variablen, insgesamt leichteren Symptome und die zumeist kürzere Dauer unterschieden. Sonstige näher bezeichnete organische psychische Störungen aufgrund einer Schädigung oder Funktionsstörung des Gehirns oder einer körperlichen Krankheit Epileptische Psychose o.n.A. Nicht näher bezeichnete organische psychische Störung aufgrund einer Schädigung oder Funktionsstörung des Gehirns oder einer körperlichen Krankheit Hirnorganisches Syndrom o.n.A. Organische psychische Störung o.n.A."
F07,"Persönlichkeits- und Verhaltensstörung aufgrund einer Krankheit, Schädigung oder Funktionsstörung des Gehirns Eine Veränderung der Persönlichkeit oder des Verhaltens kann Rest- oder Begleiterscheinung einer Krankheit, Schädigung oder Funktionsstörung des Gehirns sein. Organische Persönlichkeitsstörung Diese Störung ist charakterisiert durch eine auffällige Veränderung des gewohnten prämorbiden Verhaltensmusters und betrifft die Äußerung von Affekten, Bedürfnissen und Impulsen. Eine Beeinträchtigung der kognitiven Fähigkeiten, des Denkvermögens und ein verändertes Sexualverhalten können ebenfalls Teil des klinischen Bildes sein. Frontalhirnsyndrom Leukotomiesyndrom Lobotomiesyndrom Organisch: Pseudopsychopathie Organisch: pseudoretardierte Persönlichkeit Persönlichkeitsstörung bei limbischer Epilepsie Postenzephalitisches Syndrom Anhaltende unspezifische und uneinheitliche Verhaltensänderung nach einer viralen oder bakteriellen Enzephalitis. Das Syndrom ist reversibel; dies stellt den Hauptunterschied zu den organisch bedingten Persönlichkeitsstörungen dar. Organisches Psychosyndrom nach Schädelhirntrauma Postkontusionelles Syndrom (Enzephalopathie) Posttraumatisches (organisches) Psychosyndrom, nicht psychotisch Das Syndrom folgt einem Schädeltrauma, das meist schwer genug ist, um zur Bewusstlosigkeit zu führen. Es besteht aus einer Reihe verschiedenartiger Symptome, wie Kopfschmerzen, Schwindel, Erschöpfung, Reizbarkeit, Schwierigkeiten bei Konzentration und geistigen Leistungen, Gedächtnisstörungen, Schlafstörungen und verminderter Belastungsfähigkeit für Stress, emotionale Reize oder Alkohol. Sonstige organische Persönlichkeits- und Verhaltensstörungen aufgrund einer Krankheit, Schädigung oder Funktionsstörung des Gehirns Rechts-hemisphärische organische affektive Störung Nicht näher bezeichnete organische Persönlichkeits- und Verhaltensstörung aufgrund einer Krankheit, Schädigung oder Funktionsstörung des Gehirns Organisches Psychosyndrom"
F09,Nicht näher bezeichnete organische oder symptomatische psychische Störung Psychose: organische o.n.A. Psychose: symptomatische o.n.A.
F10,Psychische und Verhaltensstörungen durch Alkohol
